id;employee_id;employee_name;title;business_unit;place;supervisor_id;competencies;salary
1;36416;common Engineer Gardens;indeed;Lucia;Avon approach;74548;virtual;15611
2;6083;abaft Extended Coves;Mortimer embrace crazy;card Account;Marketing East;32152;hydroxyl;28192
3;7798;Mesquite District;Consultant Gender;Plastic Modern;hacking Handmade;21620;interfaces;42497
4;49117;oppress calculate matrices;Southeast content;Smart withdrawal ingratiate;often running;20756;Classical West regenerate;7415
5;26381;Dam Caguas Ergonomic;Kansas Interactions;lest readily Salad;MTF Israeli Architect;96982;Bedfordshire Northwest;77594
6;5609;lawful Jewelery;whose withdrawal RSS;Refined content Magnesium;Rapid Reggae;24959;green Cruiser;39459
7;73476;consequently;Manager;HEX Mobility;Indiana Cotton;76665;Practical Anaheim;11179
8;84500;Sacramento yellow;Towels offbeat Rubber;Schroeder application BMX;lux;56033;input transmit Koelpin;5822
9;5525;Web;prettify;Northwest Fermium Planner;Account Cayman Shirt;85190;Saint pasteurize;80828
10;20202;UTF8;Southeast Passage Practical;BMW;Engineer viral;75538;Monterey Milford;8323
